|ID           |HAS_VALIDATED|MODIFICATION_DATE      |
|1,210,823,518|0            |2025-02-07 00:19:20.407|
|1,210,823,430|0            |2025-02-07 00:19:20.306|
|1,210,823,366|0            |2025-02-07 00:19:20.199|
|1,210,823,269|0            |2025-02-07 00:19:20.097|
|1,210,815,675|0            |2025-02-07 00:19:19.802|
|1,210,821,582|0            |2025-02-07 00:19:19.795|
|1,210,819,876|0            |2025-02-07 00:19:19.716|
|1,210,820,495|0            |2025-02-07 00:19:19.685|
|1,210,821,119|0            |2025-02-07 00:19:19.663|
|1,210,816,523|0            |2025-02-07 00:19:19.618|
|1,210,819,247|0            |2025-02-07 00:19:19.576|
|1,210,821,073|0            |2025-02-07 00:19:19.550|
|1,210,824,160|0            |2025-02-07 00:19:19.514|
|1,210,821,017|0            |2025-02-07 00:19:19.434|
|1,210,820,972|0            |2025-02-07 00:19:19.323|
|1,210,821,059|0            |2025-02-07 00:19:18.335|
|1,210,820,991|0            |2025-02-07 00:19:18.225|
|1,210,820,934|0            |2025-02-07 00:19:18.127|
|1,210,820,831|0            |2025-02-07 00:19:18.022|
|1,210,823,122|0            |2025-02-07 00:19:17.957|
|1,210,820,762|0            |2025-02-07 00:19:17.924|
|1,210,820,394|0            |2025-02-07 00:19:17.835|
|1,210,823,096|0            |2025-02-07 00:19:17.819|
|1,210,823,019|0            |2025-02-07 00:19:17.696|
|1,210,822,940|0            |2025-02-07 00:19:17.581|
|1,210,822,779|0            |2025-02-07 00:19:15.433|
|1,210,815,902|0            |2025-02-07 00:19:15.404|
|1,210,824,349|0            |2025-02-07 00:19:15.274|
|1,210,824,297|0            |2025-02-07 00:19:15.170|
|1,210,820,854|0            |2025-02-07 00:19:15.154|
|1,210,820,792|0            |2025-02-07 00:19:15.045|
|1,210,817,070|0            |2025-02-07 00:19:13.374|
|1,210,820,744|0            |2025-02-07 00:19:13.345|
|1,210,817,064|0            |2025-02-07 00:19:13.276|
|1,210,819,905|0            |2025-02-07 00:19:13.253|
|1,210,820,456|0            |2025-02-07 00:19:11.734|
|1,210,820,416|0            |2025-02-07 00:19:11.631|
|1,210,820,084|0            |2025-02-07 00:19:11.611|
|1,210,820,334|0            |2025-02-07 00:19:11.528|
|1,210,819,966|0            |2025-02-07 00:19:11.490|
|1,210,820,298|0            |2025-02-07 00:19:11.421|
|1,210,822,598|0            |2025-02-07 00:19:11.246|
|1,210,822,511|0            |2025-02-07 00:19:11.130|
|1,210,818,239|0            |2025-02-07 00:19:11.088|
|1,210,817,489|0            |2025-02-07 00:19:10.994|
|1,210,824,068|0            |2025-02-07 00:19:10.989|
|1,210,824,003|0            |2025-02-07 00:19:10.880|
|1,210,819,782|0            |2025-02-07 00:19:09.309|
|1,210,820,178|0            |2025-02-07 00:19:09.277|
|1,210,822,401|0            |2025-02-07 00:19:08.979|
|1,210,819,606|0            |2025-02-07 00:19:07.146|
|1,210,820,015|0            |2025-02-07 00:19:07.126|
|1,210,819,731|0            |2025-02-07 00:19:06.836|
|1,210,820,521|0            |2025-02-07 00:19:06.828|
|1,210,820,465|0            |2025-02-07 00:19:06.715|
|1,210,820,391|0            |2025-02-07 00:19:06.609|
|1,210,819,781|0            |2025-02-07 00:19:02.934|
|1,210,819,331|0            |2025-02-07 00:19:02.930|
|1,210,819,266|0            |2025-02-07 00:19:02.828|
|1,210,819,680|0            |2025-02-07 00:19:02.804|
|1,210,822,037|0            |2025-02-07 00:19:02.716|
|1,210,819,625|0            |2025-02-07 00:19:02.698|
|1,210,821,875|0            |2025-02-07 00:19:02.696|
|1,210,823,661|0            |2025-02-07 00:19:02.648|
|1,210,821,944|0            |2025-02-07 00:19:02.609|
|1,210,821,063|0            |2025-02-07 00:19:02.599|
|1,210,819,539|0            |2025-02-07 00:19:02.592|
|1,210,820,170|0            |2025-02-07 00:19:02.497|
|1,210,820,287|0            |2025-02-07 00:19:02.442|
|1,210,819,349|0            |2025-02-07 00:19:02.401|
|1,210,820,263|0            |2025-02-07 00:19:02.349|
|1,210,818,456|0            |2025-02-07 00:19:02.312|
|1,210,820,211|0            |2025-02-07 00:19:02.252|
|1,210,820,201|0            |2025-02-07 00:19:02.123|
|1,210,817,005|0            |2025-02-07 00:19:00.985|
|1,210,819,379|0            |2025-02-07 00:19:00.466|
|1,210,821,791|0            |2025-02-07 00:19:00.460|
|1,210,821,715|0            |2025-02-07 00:19:00.354|
|1,210,820,133|0            |2025-02-07 00:18:59.982|
|1,210,823,434|0            |2025-02-07 00:18:58.484|
|1,210,823,323|0            |2025-02-07 00:18:58.381|
